ticker,tier2_scope1_tco2e,tier2_scope1_method,tier2_scope1_sector_used,tier2_scope1_peer_count,tier2_scope1_notes,tier2_scope2_tco2e,tier2_scope2_method,tier2_scope2_sector_used,tier2_scope2_peer_count,tier2_scope2_notes
MO,,,,,,35952.2,median_model_revenue+employees,sector:Consumer Staples,16,"Tier 2 Scope 2 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Consumer Staples' (16 Tier 1 peers with a real Scope 2 value, floor=5). Revenue-based: median peer Scope 2 tCO2e/$ revenue (2.81277e-06) x this company's revenue ($20,444,000,256) = 57,504 tCO2e. Employee-based: median peer Scope 2 tCO2e/employee (2.44072) x this company's employee count (5,900) = 14,400 tCO2e. Final estimate is the average of the available method(s): 35,952 tCO2e."
AMZN,2445656.1,median_model_revenue+employees,sector:Consumer Discretionary,21,"Tier 2 Scope 1 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Consumer Discretionary' (21 Tier 1 peers with a real Scope 1 value, floor=5). Revenue-based: median peer Scope 1 tCO2e/$ revenue (3.71647e-06) x this company's revenue ($775,680,032,768) = 2,882,794 tCO2e. Employee-based: median peer Scope 1 tCO2e/employee (1.25926) x this company's employee count (1,595,000) = 2,008,519 tCO2e. Final estimate is the average of the available method(s): 2,445,656 tCO2e.",4006062.8,median_model_revenue+employees,sector:Consumer Discretionary,18,"Tier 2 Scope 2 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Consumer Discretionary' (18 Tier 1 peers with a real Scope 2 value, floor=5). Revenue-based: median peer Scope 2 tCO2e/$ revenue (6.64506e-06) x this company's revenue ($775,680,032,768) = 5,154,443 tCO2e. Employee-based: median peer Scope 2 tCO2e/employee (1.79165) x this company's employee count (1,595,000) = 2,857,683 tCO2e. Final estimate is the average of the available method(s): 4,006,063 tCO2e."
AMCR,8423262.0,median_model_revenue+employees,sector:Materials,19,"Tier 2 Scope 1 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Materials' (19 Tier 1 peers with a real Scope 1 value, floor=5). Revenue-based: median peer Scope 1 tCO2e/$ revenue (0.000159601) x this company's revenue ($23,505,999,872) = 3,751,591 tCO2e. Employee-based: median peer Scope 1 tCO2e/employee (174.599) x this company's employee count (75,000) = 13,094,933 tCO2e. Final estimate is the average of the available method(s): 8,423,262 tCO2e.",4586442.7,median_model_revenue+employees,sector:Materials,9,"Tier 2 Scope 2 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Materials' (9 Tier 1 peers with a real Scope 2 value, floor=5). Revenue-based: median peer Scope 2 tCO2e/$ revenue (0.000101463) x this company's revenue ($23,505,999,872) = 2,384,995 tCO2e. Employee-based: median peer Scope 2 tCO2e/employee (90.5052) x this company's employee count (75,000) = 6,787,891 tCO2e. Final estimate is the average of the available method(s): 4,586,443 tCO2e."
AEP,,,,,,231595.6,median_model_revenue+employees,sector:Utilities,10,"Tier 2 Scope 2 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Utilities' (10 Tier 1 peers with a real Scope 2 value, floor=5). Revenue-based: median peer Scope 2 tCO2e/$ revenue (9.6601e-06) x this company's revenue ($22,791,000,064) = 220,163 tCO2e. Employee-based: median peer Scope 2 tCO2e/employee (13.8233) x this company's employee count (17,581) = 243,028 tCO2e. Final estimate is the average of the available method(s): 231,596 tCO2e."
AXP,31015.6,median_model_revenue+employees,sector:Financials,21,"Tier 2 Scope 1 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Financials' (21 Tier 1 peers with a real Scope 1 value, floor=5). Revenue-based: median peer Scope 1 tCO2e/$ revenue (5.36817e-07) x this company's revenue ($70,912,999,424) = 38,067 tCO2e. Employee-based: median peer Scope 1 tCO2e/employee (0.312029) x this company's employee count (76,800) = 23,964 tCO2e. Final estimate is the average of the available method(s): 31,016 tCO2e.",16963.6,median_model_revenue+employees,sector:Financials,17,"Tier 2 Scope 2 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Financials' (17 Tier 1 peers with a real Scope 2 value, floor=5). Revenue-based: median peer Scope 2 tCO2e/$ revenue (1.98278e-07) x this company's revenue ($70,912,999,424) = 14,061 tCO2e. Employee-based: median peer Scope 2 tCO2e/employee (0.25868) x this company's employee count (76,800) = 19,867 tCO2e. Final estimate is the average of the available method(s): 16,964 tCO2e."
AIG,10624.9,median_model_revenue+employees,sector:Financials,21,"Tier 2 Scope 1 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Financials' (21 Tier 1 peers with a real Scope 1 value, floor=5). Revenue-based: median peer Scope 1 tCO2e/$ revenue (5.36817e-07) x this company's revenue ($26,738,999,296) = 14,354 tCO2e. Employee-based: median peer Scope 1 tCO2e/employee (0.312029) x this company's employee count (22,100) = 6,896 tCO2e. Final estimate is the average of the available method(s): 10,625 tCO2e.",5509.3,median_model_revenue+employees,sector:Financials,17,"Tier 2 Scope 2 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Financials' (17 Tier 1 peers with a real Scope 2 value, floor=5). Revenue-based: median peer Scope 2 tCO2e/$ revenue (1.98278e-07) x this company's revenue ($26,738,999,296) = 5,302 tCO2e. Employee-based: median peer Scope 2 tCO2e/employee (0.25868) x this company's employee count (22,100) = 5,717 tCO2e. Final estimate is the average of the available method(s): 5,509 tCO2e."
AMT,40585.7,median_model_revenue+employees,sector:Real Estate,8,"Tier 2 Scope 1 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Real Estate' (8 Tier 1 peers with a real Scope 1 value, floor=5). Revenue-based: median peer Scope 1 tCO2e/$ revenue (5.49255e-06) x this company's revenue ($10,941,500,416) = 60,097 tCO2e. Employee-based: median peer Scope 1 tCO2e/employee (4.331) x this company's employee count (4,866) = 21,075 tCO2e. Final estimate is the average of the available method(s): 40,586 tCO2e.",547926.7,median_model_revenue+employees,sector:Real Estate,7,"Tier 2 Scope 2 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Real Estate' (7 Tier 1 peers with a real Scope 2 value, floor=5). Revenue-based: median peer Scope 2 tCO2e/$ revenue (7.54576e-06) x this company's revenue ($10,941,500,416) = 82,562 tCO2e. Employee-based: median peer Scope 2 tCO2e/employee (208.239) x this company's employee count (4,866) = 1,013,291 tCO2e. Final estimate is the average of the available method(s): 547,927 tCO2e."
AME,73429.3,median_model_revenue+employees,sector:Industrials,40,"Tier 2 Scope 1 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Industrials' (40 Tier 1 peers with a real Scope 1 value, floor=5). Revenue-based: median peer Scope 1 tCO2e/$ revenue (6.94524e-06) x this company's revenue ($7,863,923,200) = 54,617 tCO2e. Employee-based: median peer Scope 1 tCO2e/employee (4.09963) x this company's employee count (22,500) = 92,242 tCO2e. Final estimate is the average of the available method(s): 73,429 tCO2e.",77127.8,median_model_revenue+employees,sector:Industrials,28,"Tier 2 Scope 2 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Industrials' (28 Tier 1 peers with a real Scope 2 value, floor=5). Revenue-based: median peer Scope 2 tCO2e/$ revenue (9.89188e-06) x this company's revenue ($7,863,923,200) = 77,789 tCO2e. Employee-based: median peer Scope 2 tCO2e/employee (3.39852) x this company's employee count (22,500) = 76,467 tCO2e. Final estimate is the average of the available method(s): 77,128 tCO2e."
APH,59426.4,median_model_revenue+employees,sector:Information Technology,37,"Tier 2 Scope 1 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Information Technology' (37 Tier 1 peers with a real Scope 1 value, floor=5). Revenue-based: median peer Scope 1 tCO2e/$ revenue (6.23987e-07) x this company's revenue ($29,011,599,360) = 18,103 tCO2e. Employee-based: median peer Scope 1 tCO2e/employee (0.592647) x this company's employee count (170,000) = 100,750 tCO2e. Final estimate is the average of the available method(s): 59,426 tCO2e.",156867.2,median_model_revenue+employees,sector:Information Technology,29,"Tier 2 Scope 2 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Information Technology' (29 Tier 1 peers with a real Scope 2 value, floor=5). Revenue-based: median peer Scope 2 tCO2e/$ revenue (2.34945e-06) x this company's revenue ($29,011,599,360) = 68,161 tCO2e. Employee-based: median peer Scope 2 tCO2e/employee (1.44455) x this company's employee count (170,000) = 245,573 tCO2e. Final estimate is the average of the available method(s): 156,867 tCO2e."
ADI,,,,,,52669.1,median_model_revenue+employees,sub_industry:Semiconductors,5,"Tier 2 Scope 2 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sub_industry = 'Semiconductors' (5 Tier 1 peers with a real Scope 2 value, floor=5). Revenue-based: median peer Scope 2 tCO2e/$ revenue (2.34945e-06) x this company's revenue ($13,881,744,384) = 32,614 tCO2e. Employee-based: median peer Scope 2 tCO2e/employee (2.96832) x this company's employee count (24,500) = 72,724 tCO2e. Final estimate is the average of the available method(s): 52,669 tCO2e."
APA,,,,,,197488.6,median_model_revenue+employees,sector:Energy,6,"Tier 2 Scope 2 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Energy' (6 Tier 1 peers with a real Scope 2 value, floor=5). Revenue-based: median peer Scope 2 tCO2e/$ revenue (1.7615e-05) x this company's revenue ($8,572,000,256) = 150,996 tCO2e. Employee-based: median peer Scope 2 tCO2e/employee (136.226) x this company's employee count (1,791) = 243,981 tCO2e. Final estimate is the average of the available method(s): 197,489 tCO2e."
APO,10512.7,median_model_revenue+employees,sector:Financials,21,"Tier 2 Scope 1 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Financials' (21 Tier 1 peers with a real Scope 1 value, floor=5). Revenue-based: median peer Scope 1 tCO2e/$ revenue (5.36817e-07) x this company's revenue ($35,598,000,128) = 19,110 tCO2e. Employee-based: median peer Scope 1 tCO2e/employee (0.312029) x this company's employee count (6,140) = 1,916 tCO2e. Final estimate is the average of the available method(s): 10,513 tCO2e.",4323.3,median_model_revenue+employees,sector:Financials,17,"Tier 2 Scope 2 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Financials' (17 Tier 1 peers with a real Scope 2 value, floor=5). Revenue-based: median peer Scope 2 tCO2e/$ revenue (1.98278e-07) x this company's revenue ($35,598,000,128) = 7,058 tCO2e. Employee-based: median peer Scope 2 tCO2e/employee (0.25868) x this company's employee count (6,140) = 1,588 tCO2e. Final estimate is the average of the available method(s): 4,323 tCO2e."
AMAT,21147.9,median_model_revenue+employees,sector:Information Technology,37,"Tier 2 Scope 1 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Information Technology' (37 Tier 1 peers with a real Scope 1 value, floor=5). Revenue-based: median peer Scope 1 tCO2e/$ revenue (6.23987e-07) x this company's revenue ($30,837,000,192) = 19,242 tCO2e. Employee-based: median peer Scope 1 tCO2e/employee (0.592647) x this company's employee count (38,900) = 23,054 tCO2e. Final estimate is the average of the available method(s): 21,148 tCO2e.",64321.4,median_model_revenue+employees,sector:Information Technology,29,"Tier 2 Scope 2 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Information Technology' (29 Tier 1 peers with a real Scope 2 value, floor=5). Revenue-based: median peer Scope 2 tCO2e/$ revenue (2.34945e-06) x this company's revenue ($30,837,000,192) = 72,450 tCO2e. Employee-based: median peer Scope 2 tCO2e/employee (1.44455) x this company's employee count (38,900) = 56,193 tCO2e. Final estimate is the average of the available method(s): 64,321 tCO2e."
APP,2776.2,median_model_revenue+employees,sector:Communication Services,6,"Tier 2 Scope 1 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Communication Services' (6 Tier 1 peers with a real Scope 1 value, floor=5). Revenue-based: median peer Scope 1 tCO2e/$ revenue (6.73153e-07) x this company's revenue ($6,829,124,096) = 4,597 tCO2e. Employee-based: median peer Scope 1 tCO2e/employee (1.09064) x this company's employee count (876) = 955 tCO2e. Final estimate is the average of the available method(s): 2,776 tCO2e.",19684.0,median_model_revenue+employees,sector:Communication Services,6,"Tier 2 Scope 2 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Communication Services' (6 Tier 1 peers with a real Scope 2 value, floor=5). Revenue-based: median peer Scope 2 tCO2e/$ revenue (5.2889e-06) x this company's revenue ($6,829,124,096) = 36,119 tCO2e. Employee-based: median peer Scope 2 tCO2e/employee (3.70951) x this company's employee count (876) = 3,250 tCO2e. Final estimate is the average of the available method(s): 19,684 tCO2e."
A,30196.5,median_model_revenue+employees,sector:Health Care,25,"Tier 2 Scope 1 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Health Care' (25 Tier 1 peers with a real Scope 1 value, floor=5). Revenue-based: median peer Scope 1 tCO2e/$ revenue (3.54491e-06) x this company's revenue ($7,372,000,256) = 26,133 tCO2e. Employee-based: median peer Scope 1 tCO2e/employee (1.88241) x this company's employee count (18,200) = 34,260 tCO2e. Final estimate is the average of the available method(s): 30,196 tCO2e.",29606.7,median_model_revenue+employees,sector:Health Care,18,"Tier 2 Scope 2 ESTIMATE (LSEG median-model style), NOT a disclosure -- see pipeline/tier2_estimation/estimate_tier2.py. Peer group: sector = 'Health Care' (18 Tier 1 peers with a real Scope 2 value, floor=5). Revenue-based: median peer Scope 2 tCO2e/$ revenue (3.19915e-06) x this company's revenue ($7,372,000,256) = 23,584 tCO2e. Employee-based: median peer Scope 2 tCO2e/employee (1.95766) x this company's employee count (18,200) = 35,629 tCO2e. Final estimate is the average of the available method(s): 29,607 tCO2e."
