ticker,security,sbti_company_name,near_term_status,near_term_target_classification,near_term_target_year,long_term_status,long_term_target_year,net_zero_status,net_zero_year,full_target_language,date_updated
AMCR,Amcor,Amcor plc,Targets set,1.5°C,FY2033,Targets set,FY2050,Targets set,FY2050,"Overall Net-Zero Target:
Amcor plc commits to reach net-zero greenhouse gas emissions across the value chain by FY2050.

Near-Term Targets:
Amcor plc commits to reduce absolute scope 1 and 2 GHG emissions 54.6% by FY2033 from a FY2022 base year.* Amcor plc also commits to reduce absolute scope 3 GHG emissions 32.5% within the same timeframe.

Long-Term Targets:
Amcor plc commits to reduce absolute scope 1 and 2 GHG emissions 90.0% by FY2050 from a FY2022 base year.* Amcor plc also commits to reduce absolute scope 3 GHG emissions 90.0% within the same timeframe.

*The target boundary includes land-related emissions and removals from biogenic feedstocks.",2025-12-04 01:00:00
AMD,Advanced Micro Devices,"Advanced Micro Devices, Inc",Targets set,Well-below 2°C,2020.0,,,,,"Multinational semiconductor company AMD commits to reduce scope 1 and 2 emissions 20% by 2020 from a 2014 base-year. AMD also commits to improve the compute performance per watt of energy consumed by their mobile APU processors by 2500% by 2020 from a 2014 base-year. AMD also has a goal for suppliers' wafer foundry scope 1 emissions to stay 30% below the Semiconductor Industry Association average, and for wafer foundry electricity use to stay 40% below the industry average, using a normalized manufacturing index",2016-06-27 01:00:00
AMGN,Amgen,Amgen Inc.,Targets set,1.5°C,2030.0,,,,,"Amgen commits to reduce absolute scope 1 and 2 GHG emissions 55% by 2027 from a 2019 base year. Amgen also commits to increase annual sourcing of renewable electricity from 29% in 2019 to 100% by 2027, to continue annually sourcing of 100% renewable electricity through 2030. Amgen further commits that 73% of its suppliers by spend covering upstream purchased goods and services and capital goods will have science- based targets by 2027.",2022-09-22 01:00:00
AMT,American Tower,American Tower Corporation,Targets set,Well-below 2°C,2035.0,,,,,"American Tower Corporation commits to reduce absolute scope 1, 2 and 3 GHG emissions 40% by 2035 from a 2019 base year.",2021-10-28 01:00:00
AMZN,Amazon,Amazon,Commitment removed,,,,,,,,2020-06-18 01:00:00
ANET,Arista Networks,"Arista Networks, Inc.",Targets set,1.5°C,2030.0,Targets set,2050.0,Targets set,2050.0,"Overall Net-Zero Target: 
Arista Networks, Inc. commits to reach net-zero greenhouse gas emissions across the value chain by 2050.
Near-Term Targets: 
Arista Networks, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 42% by 2030 from a 2023 base year. Arista Networks, Inc. also commits to reduce absolute scope 3 GHG emissions 42% within the same timeframe.
Long-Term Targets: 
Arista Networks, Inc. commits to reduce absolute scope 1, 2 and 3 GHG emissions 90% by 2050 from a 2023 base year.",2025-04-24 01:00:00
AON,Aon plc,Aon plc,Targets set,1.5°C,2032.0,,,,,"Aon plc commits to reduce absolute scope 1 and 2 GHG emissions 55% by
2032 from a 2019 base year. Aon plc also commits that 81% of its
suppliers by emissions covering purchased goods and services, capital
goods and upstream leased assets, will have science-based targets by
2027.",2023-05-25 01:00:00
APTV,Aptiv,Aptiv PLC,Targets set,1.5°C,2030.0,,,,,Aptiv PLC commits to reduce absolute scope 1 and 2 GHG emissions 100% by 2030 from a 2021 base year. Aptiv PLC also commits to reduce absolute scope 3 GHG emissions 47.4% within the same timeframe.,2023-12-07 01:00:00
AVGO,Broadcom,Broadcom Inc.,Commitment removed,,,,,,,,2024-02-29 01:00:00
AVY,Avery Dennison,Avery Dennison Corporation,Targets set,1.5°C,2030.0,,,,,Avery Dennison commits to reduce absolute scope 1 and 2 GHG emissions 70% by 2030 from a 2015 base year. Avery Dennison also commits to reduce absolute scope 3 GHG emissions from purchased goods and services and end of life treatment of sold products 30% by 2030 from a 2018 base year.,2021-10-21 01:00:00
AXP,American Express,American Express Company,Targets set,1.5°C,2033.0,Targets set,2050.0,Targets set,2050.0,"Overall Net-Zero Target: American Express Company commits to reach net-zero greenhouse gas emissions across the value chain by 2050. Near-Term Targets: American Express Company commits to reduce absolute scope 1 and 2 GHG emissions 60% by 2033 from 2019 base year. American Express Company also commits to reduce absolute scope 3 emissions 35% within the same timeframe. 
American Express Company commits that 75% of membership rewards redemption partners and cobrand partners by emissions covering beyond the minimum boundary emissions from purchased goods and services will have science-based targets by 2028. Long-Term Targets: American Express Company commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2050 from a 2019 base year. American Express Company commits to reduce absolute scope 3 GHG emissions 90% within the same timeframe. ",2024-10-24 01:00:00
BALL,Ball Corporation,Ball Corporation,Targets set,1.5°C,2030.0,,,,,"“Ball Corporation commits to reduce absolute scope 1 and scope 2 GHG emissions 55% by 2030 from a 2017 base year. Ball Corporation also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, capital goods, fuel and energy related activities, upstream transportation and distribution, waste generated in operations, business travel, employee commuting, upstream leased assets, downstream transportation and distribution, processing of sold products and investments 16% by 2030 from a 2017 base year. * The target boundary includes biogenic emissions and removals from bioenergy feedstocks. ”",2020-04-23 01:00:00
BBY,Best Buy,"Best Buy Co., Inc.",Targets set,1.5°C,2030.0,,,,,American multinational consumer electronics retailer Best Buy commits to reduce absolute Scope 1 and Scope 2 GHG emissions 50% by 2030 from a 2017 base-year. Best Buy also commits to reduce absolute Scope 3 GHG emissions from Use of Sold Products 20% by 2030 from a 2017 base-year.,2019-07-01 01:00:00
BIIB,Biogen,Biogen Inc.,Commitment removed,,,,,Commitment removed,,,2020-09-01 01:00:00
BKNG,Booking Holdings,Booking Holdings Inc.,Targets set,1.5°C,2030.0,Targets set,2040.0,Targets set,2040.0,"Overall Net-Zero Target
Booking Holdings Inc. commits to reach net-zero GHG emissions across the value chain by
2040.
Near-Term Targets
Booking Holdings Inc. commits to reduce absolute scope 1 and 2 GHG emissions 95% by 2030 from a 2019 base year. Booking Holdings Inc. also commits to reduce absolute scope 3 GHG emissions covering purchased goods and services, capital goods, business travel and employee commuting by 50% within the same timeframe.
Long-Term Targets
Booking Holding Inc. commits to maintain at least 95% absolute scope 1 and 2 GHG emissions reduction from 2030 through 2040 relative to a 2019 base year. Booking Holdings Inc. also commits to reduce absolute scope 3 GHG emissions 90% by 2040 from a 2019 base year",2024-03-07 01:00:00
BMY,Bristol Myers Squibb,Bristol Myers Squibb,Targets set,1.5°C,2033.0,Targets set,2050.0,Targets set,2050.0,"Overall Net-Zero Target: Bristol Myers Squibb commits to reach net-zero greenhouse gas emissions across the value chain by 2050. Near-Term Targets: Bristol Myers Squibb (BMS) commits to reduce absolute scope 1 and 2 GHG emissions 54.6% by 2033 from a 2022 base year.* BMS also commits to reduce absolute scope 3 GHG emissions from fuel and energy related activities 54.6% within the same timeframe.* BMS further commits that 75% of its suppliers by emissions covering purchased goods and services, capital goods, and upstream transportation and distribution will have science-based targets by 2028.
*The target boundary includes biogenic land-related emissions and removals from bioenergy feedstocks.
 Long-Term Targets: BMS commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2050 from a 2022 base year.* BMS also commits to reduce absolute scope 3 GHG emissions 90% within the same timeframe.*
*The target boundary includes biogenic land-related emissions and removals from bioenergy feedstocks.
",2024-07-18 01:00:00
BR,Broadridge Financial Solutions,"Broadridge Financial Solutions, Inc.",Targets set,1.5°C,FY2033,Targets set,FY2050,Targets set,FY2050,"Overall Net-Zero Target: Broadridge Financial Solutions, Inc. commits to reach net-zero greenhouse gas emissions across the value chain by FY2050. Near-Term Targets: Broadridge Financial Solutions, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 54.6% by FY2033 from a FY2023 base year. Broadridge Financial Solutions, Inc. commits that 78.6% of its suppliers by emissions covering purchased goods and services and upstream transportation and distribution, will have science-based targets by FY2028. Long-Term Targets: Broadridge Financial Solutions, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 90.0% by FY2050 from a FY2023 base year. Broadridge Financial Solutions, Inc. also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, fuel-and energy-related activities, upstream transportation and distribution, waste generated in operations, business travel and, employee commuting 90.0% within the same timeframe.",2025-01-09 01:00:00
BSX,Boston Scientific,Boston Scientific Corporation,Targets set,1.5°C,2030.0,Targets set,2050.0,Targets set,2050.0,"Overall Net-Zero Target:
Boston Scientific Corporation commits to achieve net-zero greenhouse gas emissions across the value chain by 2050.

Near-Term Targets:
Boston Scientific Corporation commits to reduce absolute scope 1 and 2 GHG emissions 46.2% by 2030 from a 2019 base year. * Boston Scientific Corporation also commits to reduce scope 3 GHG emissions from purchased goods and services, capital goods, fuel- and energy-related activities, upstream transportation and distribution, waste generated in operations and business travel 51.6% per USD value added by 2030 from a 2024 base year.

Long-Term Targets:
Boston Scientific Corporation commits to reduce absolute scope 1 and 2 GHG emissions 97.0% per USD value added, equivalent to 90% absolute reduction, by 2050 from a 2019 base year. * Boston Scientific Corporation also commits to reduce scope 3 GHG emissions 97.0% per USD value added by 2050 from a 2024 base year.

*The target boundary includes land-related emissions and removals from biogenic feedstocks.",2026-05-07 01:00:00
BXP,BXP Inc.,BXP,Targets set,1.5°C,2030.0,,,Commitment removed,,Near-Term Targets: BXP commits to reduce scope 1 and 2 GHG emissions 73.57% per m2 by 2030 from a 2018 base year. BXP also commits to reduce scope 3 GHG emissions from purchased goods and services and downstream leased assets 58.14% per m2 within the same timeframe.,2025-03-27 01:00:00
CAH,Cardinal Health,"Cardinal Health, Inc.",Targets set,1.5°C,FY2030,,,,,"Cardinal Health commits to reduce absolute scope 1 and 2 GHG emissions 50% by FY2030 from a FY2019 base year.* Cardinal Health also commits that 75% of its suppliers by spend, covering purchased goods and services and upstream transportation and distribution, will have science-based targets by FY2028.
*The target boundary includes land-related emissions and removals from bioenergy feedstocks.",2024-03-14 01:00:00
CARR,Carrier Global,Carrier Global Corporation,Targets set,1.5°C,2030.0,Targets set,2050.0,Targets set,2050.0,"Overall Net-Zero Target: Carrier Global Corporation commits to reach net-zero greenhousegas emissions across the value chain by 2050.
Near-Term Targets: Carrier Global Corporation commits to reduce absolute scope 1 and 2 GHG emissions 42% by 2030 from a 2021 base year. Carrier Global Corporation also commits to reduce absolute scope 3 GHG emissions 25% within the same timeframe.
Long-Term Targets: Carrier Global Corporation commits to reduce absolute scope 1, 2, and 3 GHG emissions 90% by 2050 from a 2021 base year.",2024-06-13 01:00:00
CBRE,CBRE Group,CBRE,Targets set,1.5°C,FY2030,Targets set,FY2040,Targets set,FY2040,Overall Net-Zero Target: CBRE commits to reach net-zero greenhouse gas emissions across the value chain by FY2040. Near-Term Targets: CBRE commits to reduce absolute scope 1 and 2 GHG emissions 50% by FY2030 from a FY2019 base year. CBRE also commits to reduce scope 3 GHG emissions from use of sold of sold products 55% per square foot in buildings managed for clients within the same timeframe.   Long-Term Targets: CBRE commits to reduce absolute scope 1 and 2 GHG emissions 90% by FY2040 from a FY2019 base year. CBRE also commits to reduce absolute scope 3 GHG emissions 90% by FY2040 within the same timeframe.,2024-12-05 01:00:00
CDNS,Cadence Design Systems,Cadence Design Systems,Targets set,1.5°C,2030.0,Targets set,2040.0,Targets set,2040.0,"Overall Net-Zero Target: Cadence Design Systems, Inc. commits to reach net-zero greenhouse gas emissions across the value chain by 2040. Near-Term Targets: Cadence Design Systems, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 89.78% by 2030 from a 2019 base year. Cadence Design Systems, Inc. also commits to reduce absolute scope 3 GHG emissions 46.2% within the same timeframe. Long-Term Targets: Cadence Design Systems, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2040 from a 2019 base year. Cadence Design Systems, Inc. also commits to reduce absolute scope 3 GHG emissions 90% within the same timeframe.
",2024-08-15 01:00:00
CDW,CDW Corporation,CDW Corporation,Targets set,1.5°C,2030.0,,,,,"CDW Corporation commits to reduce absolute scope 1 and 2 GHG emissions 42% by 2030
from a 2022 base year.
CDW Corporation also commits that 80% of its suppliers by emissions covering purchased
goods and services, will have science-based targets by 2028.
CDW Corporation also commits to reduce absolute scope 3 GHG emissions from capital
goods, fuel- and energy-related activities, upstream and downstream transportation and
distribution, waste generated in operations, business travel, employee commuting, use of
sold products and end-of-life treatment of sold products 25% by 2030 from 2022 base year.",2024-11-28 01:00:00
CHD,Church & Dwight,Church & Dwight Co. Inc.,Targets set,1.5°C,2031.0,,,,,"Church & Dwight commits to reduce absolute scope 1 and 2 GHG emissions 46.2% by 2031 from a 2020 base year. Church & Dwight commits to continue annually sourcing 100% renewable electricity through 2030. Church & Dwight commits that 75% of its suppliers by emissions covering purchased goods and services, capital goods, and upstream transportation and distribution will have science-based targets by 2026.",2022-08-04 01:00:00
CI,Cigna,The Cigna Group,Committed,,,,,,,,2024-05-02 01:00:00
CIEN,Ciena,Ciena Corporation,Targets set,1.5°C,FY2030,,,,,"Multinational networking systems, services and software company Ciena Corporation commits to reduce absolute scope 1 and 2 GHG emissions 80.6% by FY2030 from a FY2019 base year. Ciena Corporation also commits to reduce scope 3 GHG emissions 71.3% per capacity shipped in Gbps within the same timeframe.",2023-08-31 01:00:00
CLX,Clorox,The Clorox Company,Targets set,1.5°C,2030.0,,,Commitment removed,,The Clorox Company commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2020 base year*. The Clorox Company also commits to reduce absolute scope 3 GHG emissions from purchased goods and services and use of sold products 25% over the same timeframe. *The target boundary includes biogenic emissions and removals from bioenergy feedstocks.,2021-09-23 01:00:00
CMCSA,Comcast,Comcast,Targets set,1.5°C,2030.0,,,,,"Near-Term Targets: 
Comcast commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2019 base year.* Comcast also commits to reduce absolute scope 3 GHG emissions from fuel- and energy-related activities, business travel, employee commuting, use of sold products and downstream leased assets 27.5% within the same timeframe.* Comcast further commits that 36% of its suppliers by emissions covering purchased goods and services, capital goods, upstream transportation and distribution, waste generated in operations and upstream leased assets, will have science-based targets by 2029.
*The target boundary includes land-related emissions and removals from bioenergy feedstocks. ",2025-04-24 01:00:00
CMG,Chipotle Mexican Grill,"Chipotle Mexican Grill, Inc.",Targets set,1.5°C,2030.0,,,,,Chipotle Mexican Grill commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2019 base year. Chipotle Mexican Grill also commits to reduce absolute scope 3 GHG emissions 50% within the same timeframe.,2021-11-04 01:00:00
CMI,Cummins,Cummins,Targets set,1.5°C,2030.0,,,,,Power generation design and manufacturers Cummins Inc Cummins Inc commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2018 base year. Cummins Inc also commits to reduce absolute scope 3 GHG emissions from the use of sold products 25% by 2030 from a 2018 base year.,2021-10-14 01:00:00
COR,Cencora,Cencora,Targets set,1.5°C,FY2032,,,,,"AmerisourceBergen commits to reduce absolute scope 1 and 2 GHG emissions 54.6% by FY2032 from a FY2019 base year. AmerisourceBergen also commits that 82% of its suppliers by spend, covering purchased goods and services, will have science-based targets by FY2027.",2023-01-26 01:00:00
CRH,CRH plc,CRH plc,Targets set,1.5°C,2030.0,,,,,CRH commits to reduce gross scope 1 and scope 2 GHG emissions 33.5% per tonne of cementitious product by 2030 from a 2021 base year*. CRH also commits to reduce absolute gross scope 1 and 2 GHG emissions from other activities 42.0% by 2030 from a 2021 base year*. CRH further commits to reduce gross scope 3 GHG emissions 23.5% from purchased clinker and cement per tonne purchased over the same timeframe. *The target boundary includes land-related emissions and removals from bioenergy feedstocks.,2023-03-02 01:00:00
CRL,Charles River Laboratories,"Charles River Laboratories, Inc.",Targets set,1.5°C,2030.0,,,,,"Charles River Laboratories, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2018 base year. Charles River Laboratories, Inc. commits to increase annual sourcing of renewable electricity from 1% in 2018 to 100% by 2030. Charles River Laboratories, Inc. further commits to reduce absolute scope 3 GHG emissions 15% by 2030 from a 2019 base year. *The target boundary includes biogenic emissions and removals from bioenergy feedstocks.",2021-02-04 01:00:00
CRWD,CrowdStrike,CrowdStrike,Targets set,1.5°C,FY2031,,,Commitment removed,,"Near-Term Targets:
CrowdStrike commits to reduce absolute scope 1 and 2 GHG emissions 35.39% by FY2031 from a FY2025 base year.* CrowdStrike also commits to reduce scope 3 GHG emissions from purchased goods and services and business travel 51.6% per USD value added within the same timeframe.

*The target boundary includes land-related emissions and removals from biogenic feedstocks.",2026-07-02 01:00:00
CSGP,CoStar Group,"CoStar Group, Inc.",Targets set,1.5°C,2033.0,Targets set,2050.0,Targets set,2050.0,"Overall Net-Zero Target: 
CoStar Group commits to reach net-zero greenhouse gas emissions across the value chain by 2050.
Near-Term Targets: 
CoStar Group commits to reduce absolute scope 1 and 2 GHG emissions 54.6% by 2033 from a 2023 base year. CoStar Group also commits to reduce scope 3 GHG emissions from capital goods 61.1% per USD value added within the same timeframe. CoStar Group further commits that 75.3% of its suppliers by spend covering purchased goods and services will have science-based targets by 2029.
Long-Term Targets: 
CoStar Group commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2050 from a 2023 base year. CoStar Group also commits to reduce scope 3 GHG emissions 97% per USD value added within the same timeframe.",2025-04-24 01:00:00
CSX,CSX Corporation,CSX Corporation,Targets set,Well-below 2°C,2029.0,,,,,CSX commits to reduce scope 1 and 2 GHG emissions intensity 37% per million gross ton miles by 2029 from a 2014 base year.,2020-05-14 01:00:00
CVS,CVS Health,CVS Health,Targets set,1.5°C,2030.0,Targets set,2050.0,Targets set,2050.0,"CVS Health CVS Health commits to reach net-zero greenhouse gas emissions across the value chain by 2050. Near-term Target As part of this commitment, CVS commits to reduce absolute scope 1 and 2 GHG emissions 47% by 2030 from a 2019 base year. CVS also commits to reduce absolute scope 3 GHG emissions from purchased goods and services 47% by 2030 from a 2019 base year. Long-Term Target CVS commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2050 from a 2019 base year. CVS also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, business travel, and downstream transportation 90% by 2050 from a 2019 base year.",2021-10-01 01:00:00
DAL,Delta Air Lines,Delta Air Lines,Targets set,Well-below 2°C,2035.0,,,Committed,,Delta Air Lines commits to reduce well-to-wake scope 1 and 3 jet fuel GHG emissions 45% per revenue tonne kilometer by 2035 from a 2019 base year*. *Non-CO2e effects which may also contribute to aviation induced warming are not included in this target. Delta Air Lines commits to report publicly on its collaboration with stakeholders to improve understanding of opportunities to mitigate the non-CO2e impacts of aviation annually over its target timeframe.,2022-09-01 01:00:00
DE,Deere & Company,Deere & Company,Targets set,1.5°C,FY2030,,,,,Deere & Company commits to reduce absolute scope 1 and 2 GHG emissions 50% by FY2030 from a FY2021 base year*. Deere & Company also commits to reduce absolute scope 3 GHG emissions from purchased goods and services and use of sold products 30% within the same timeframe. *The target boundary includes land-related emissions and removals from bioenergy feedstocks.,2023-10-26 01:00:00
DECK,Deckers Brands,Deckers Brands,Targets set,1.5°C,FY2030,,,,,Deckers Brands commits to reduce absolute scope 1 and 2 GHG emissions 46% by FY2030 from a FY2019 base year. Deckers Brands also commits to reduce scope 3 GHG emissions 58% per $M gross profit within the same timeframe.,2021-11-04 01:00:00
DELL,Dell Technologies,Dell Technologies,Targets set,1.5°C,FY2031,Targets set,FY2051,Targets set,FY2051,"Overall Net-Zero Target: Dell Technologies commits to reach net-zero greenhouse gas emissions across the value chain by FY2051. Near-Term Targets: Dell Technologies commits to reduce absolute scope 1 and 2 GHG emissions 50% by FY2031 from a FY2020 base year. Dell Technologies also commits to reduce absolute scope 3 GHG emissions from purchased goods and services 45% within the same timeframe. Dell Technologies further commits to reduce absolute scope 3 GHG emissions from use of sold products 30% within the same timeframe. Long-Term Targets: Dell Technologies commits to reduce absolute scope 1 and 2 GHG emissions 90% by FY2051 from a FY2020 base year. Dell Technologies also commits to reduce absolute scope 3 GHG emissions 90% within the same timeframe. 
 
",2024-09-19 01:00:00
DHR,Danaher Corporation,Danaher Corporation,Targets set,1.5°C,2035.0,Targets set,2050.0,Targets set,2050.0,"Overall Net-Zero Target:
Danaher Corporation commits to achieve net-zero greenhouse gas emissions across the value chain by 2050.

Near-Term Targets:
Danaher Corporation commits to reduce absolute scope 1 and 2 GHG emissions 54.6% by 2032 from a 2021 base year. Danaher Corporation also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, upstream transportation and distribution and use of sold products 31.73% by 2035 from a 2024 base year. Danaher Corporation further commits that 40.0% of its suppliers by emissions covering purchased goods and services and upstream transportation and distribution, will have science-based targets by 2030.

Long-Term Targets:
Danaher Corporation commits to reduce absolute scope 1 and 2 GHG emissions 90.0% by 2050 from a 2021 base year. Danaher Corporation also commits to reduce absolute scope 3 GHG emissions 90.0% by 2050 from a 2024 base year.",2026-08-27 01:00:00
DLR,Digital Realty,Digital Realty,Targets set,1.5°C,2030.0,,,Committed,,"Near-Term Targets: Digital Realty commits to reduce absolute scope 1 and 2 GHG emissions 42% by 2030 from a 2023 base year. Digital Realty also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, upstream transportation and distribution, downstream leased assets and investments 25% within the same timeframe.",2025-06-26 01:00:00
DOC,Healthpeak Properties,"Healthpeak Properties, Inc.",Targets set,Well-below 2°C,2033.0,,,,,"Real estate investment trust Healthpeak Properties, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 38% by 2033 from a 2018 base year. HCP also commits to reduce absolute scope 3 GHG emissions 19% by 2033 from a 2018 base year",2019-12-12 01:00:00
DOV,Dover Corporation,Dover Corporation,Targets set,Well-below 2°C,2030.0,,,,,Dover Corporation commits to reduce absolute scope 1 and 2 market-based GHG emissions 30% by 2030 from a 2019 base year. Dover Corporation also commits to reduce absolute scope 3 GHG emissions 15% within the same timeframe.,2021-06-23 01:00:00
DVA,DaVita,DaVita,Targets set,1.5°C,2030.0,,,,,"DaVita Inc. commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2018 base year. DaVita Inc. commits to increase annual sourcing of renewable electricity from 0% in 2018 to 100% by 2030. DaVita Inc. also commits that 70% of its suppliers by emissions covering purchased goods and services, capital goods, waste generated in operations, and downstream transportation and distribution will have science-based targets by 2025.",2021-05-27 01:00:00
DXCM,Dexcom,"Dexcom, Inc.",Commitment removed,,,,,,,,2023-06-08 01:00:00
EBAY,eBay Inc,eBay Inc.,Targets set,1.5°C,2030.0,Targets set,2045.0,Targets set,2045.0,Overall Net-Zero Target: eBay Inc. commits to reach net-zero greenhouse gas emissions across the value chain by 2045. Near-Term Targets: eBay Inc. commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2030 from a 2019 base year. eBay Inc. also commits to reduce absolute scope 3 GHG emissions from downstream transportation and distribution 27.5% within the same timeframe.  Long-Term Targets: eBay Inc. commits to maintain a minimum of 90% absolute scope 1 and 2 GHG emissions reductions from 2030 through 2045 from a 2019 base year. eBay Inc. also commits to reduce absolute scope 3 GHG emissions 90% by 2045 from a 2019 base year.,2025-02-27 01:00:00
